Timestamp,BI
1738272197.46959,384
1738272197.85345,518
1738272198.20216,518
1738272198.71997,384
1738272199.33019,518
1738272199.67853,518
1738272200.19722,385
1738272200.58214,384
1738272200.96654,384
1738272201.29889,384
1738272201.66326,384
1738272202.22378,407
1738272202.63029,561
1738272203.74092,898
1738272204.76269,969
1738272205.66058,1022
1738272206.62968,1022
1738272207.74344,1114
1738272208.99539,1231
1738272210.22592,1231
1738272211.49656,1231
1738272212.7015,1205
1738272213.89783,1196
1738272214.69099,1124
1738272215.03933,969
1738272216.16324,962
1738272217.13213,962
1738272218.09436,962
1738272218.50757,728
1738272219.23579,728
1738272219.54566,728
1738272220.44373,828
1738272221.63536,828
1738272222.46334,828
1738272222.7982,814
1738272223.6122,814
1738272224.02193,814
1738272225.05797,814
1738272225.92145,863
1738272226.49381,1036
1738272227.64538,863
1738272228.81708,728
1738272229.54477,1152
1738272229.98745,1060
1738272231.14955,728
1738272232.20927,556
1738272232.76553,1060
1738272233.14876,1060
1738272234.2937,1145
1738272235.48008,1164
1738272236.75787,1186
1738272237.92202,1186
1738272239.12509,1164
1738272239.66381,1164
1738272240.31683,1163
1738272241.53026,1163
1738272242.6931,1163
1738272243.8962,1163
1738272244.68219,1163
1738272245.05757,921
1738272246.24006,921
1738272247.1613,921
1738272248.10548,921
1738272248.67101,921
1738272249.19803,944
1738272250.33646,1072
1738272251.40822,1138
1738272252.55707,1138
1738272253.74883,1112
1738272254.86095,1112
1738272255.45652,1066
1738272256.03923,1066
1738272257.10553,596
1738272258.34237,813
1738272258.78107,1066
1738272259.5941,1007
1738272260.83025,813
1738272261.83707,813
1738272262.5237,1007
1738272262.88177,1007
1738272263.8905,1009
1738272264.98037,1090
1738272266.1098,1109
1738272267.21924,1109
1738272268.48705,1109
1738272269.2143,1077
1738272269.61651,1077
1738272270.6932,810
1738272271.87478,810
1738272272.68431,810
1738272273.0876,595
1738272273.68277,504
1738272274.14926,466
1738272274.65336,504
1738272275.10667,504
1738272276.26671,504
1738272277.05853,792
1738272277.39373,1160
1738272278.57212,792
1738272279.99642,867
1738272280.33109,908
1738272281.19855,867
1738272282.10609,335
1738272282.4206,791
1738272282.7298,729
1738272283.52046,315
1738272284.24955,633
1738272284.56331,633
1738272285.19614,633
1738272285.66407,633
1738272286.72152,633
1738272287.90319,521
1738272288.4246,604
1738272288.84389,521
1738272289.44818,432
1738272289.77436,432
1738272290.20673,591
1738272290.79784,591
1738272291.87338,591
1738272292.87319,847
1738272293.21462,1000
1738272294.06132,847
1738272295.30528,363
1738272295.66791,519
1738272295.9901,519
1738272296.50879,519
1738272297.62882,625
1738272298.80964,625
1738272299.43454,1120
1738272299.76188,625
1738272300.93298,625
1738272301.27266,368
1738272301.93806,575
1738272302.30602,575
1738272302.88113,665
1738272303.83979,664
1738272304.78987,664
1738272305.45399,686
1738272305.99221,664
1738272306.67814,538
1738272307.17364,538
1738272307.48454,686
1738272308.27227,788
1738272309.56897,788
1738272310.70675,788
1738272311.28257,1043
1738272311.90668,725
1738272312.94962,624
1738272313.67509,725
1738272314.07909,725
1738272315.02918,595
1738272315.4618,595
1738272316.0568,836
1738272316.95847,620
1738272317.79456,620
1738272318.41433,836
1738272318.73401,836
1738272319.70546,620
1738272320.79558,811
1738272321.17632,971
1738272321.98739,1004
1738272323.19123,811
1738272324.19568,811
1738272324.97631,1004
1738272325.33499,781
1738272326.53873,662
1738272327.20059,662
1738272327.58051,933
1738272328.62942,727
1738272329.56257,727
1738272330.28934,727
1738272330.80676,517
1738272331.30526,499
1738272331.62173,499
1738272332.11686,499
1738272332.82542,709
1738272333.83261,862
1738272334.69427,1007
1738272335.99364,1038
1738272337.03162,1127
1738272338.15904,1127
1738272339.32041,1088
1738272340.40864,1088
1738272341.48558,1077
1738272342.23617,1043
1738272342.5446,751
1738272343.58754,551
1738272343.99719,551
1738272344.54835,836
1738272345.38441,836
1738272346.33362,949
1738272347.33605,988
1738272348.33477,999
1738272349.32251,1002
1738272350.49605,999
1738272351.49838,988
1738272352.0174,632
1738272352.64954,632
1738272353.22365,632
1738272353.97019,747
1738272354.73397,747
1738272355.74736,755
1738272356.31238,764
1738272357.06704,984
1738272358.10228,984
1738272359.08655,984
1738272360.0704,998
1738272361.06847,998
1738272362.07801,998
1738272363.19146,998
1738272363.98725,1010
1738272364.33217,1022
1738272365.43274,855
1738272366.45463,855
1738272367.30959,1022
1738272367.66987,855
1738272368.7135,635
1738272369.14811,635
1738272369.78315,635
1738272370.56269,435
1738272370.89346,635
1738272371.23837,345
1738272371.9477,345
1738272372.27086,443
1738272372.7136,443
1738272373.23953,443
1738272373.61265,526
1738272374.30119,593
1738272374.89388,689
1738272375.90781,855
1738272376.76254,855
1738272377.63757,875
1738272378.28803,855
1738272379.36871,875
1738272379.70463,891
1738272380.70793,891
1738272381.59878,506
1738272381.9414,506
1738272382.44744,506
1738272382.79906,506
1738272383.40594,506
1738272383.94426,538
1738272384.27486,538
1738272384.89345,409
1738272385.2215,331
1738272385.63026,409
1738272385.96022,409
1738272386.84818,409
1738272387.68978,555
1738272388.03208,555
1738272388.58726,453
1738272389.04031,417
1738272389.36228,417
1738272389.7796,417
1738272390.11694,417
1738272391.74399,718
1738272392.51422,770
1738272393.23271,770
1738272394.10706,718
1738272394.5268,420
1738272394.83379,420
1738272395.2371,420
1738272395.72384,487
1738272396.46074,487
1738272396.9813,521
1738272397.30506,737
1738272398.07073,521
1738272398.8571,496
1738272399.25762,496
1738272399.75394,427
1738272400.08815,427
1738272400.51493,427
1738272401.07291,427
1738272401.37998,558
1738272402.21222,798
1738272403.09906,798
1738272403.8969,798
1738272404.21267,794
1738272404.78775,575
1738272405.58132,488
1738272406.06888,575
1738272406.47288,790
1738272407.26246,790
1738272408.11015,790
1738272408.98551,790
1738272409.44053,455
1738272409.78865,455
1738272410.24115,455
1738272410.78123,540
1738272411.38695,540
1738272412.03801,540
1738272412.39695,476
1738272412.87296,476
1738272413.23131,476
1738272413.98266,751
1738272414.85809,778
1738272415.64244,784
1738272416.4204,793
1738272417.21309,784
1738272418.02612,778
1738272418.76017,793
1738272419.11482,734
