LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738271942.849453,912266.000,6278,1,TL,1,100,2025-01-30_14-18-57-917844
1738271947.980608,917397.000,7067,1,TL,1,100,2025-01-30_14-19-02-977325
1738271947.982608,917399.000,7069,1,TL,1,100,2025-01-30_14-19-03-059046
1738271953.101763,922518.000,7853,1,TL,1,100,2025-01-30_14-19-08-088551
1738271953.103763,922520.000,7855,1,TL,1,100,2025-01-30_14-19-08-181229
1738271958.219917,927636.000,8642,1,TL,1,100,2025-01-30_14-19-13-149314
1738271958.221917,927638.000,8644,1,TL,1,100,2025-01-30_14-19-13-249675
1738271958.268919,927685.000,8647,1,TL,1,100,2025-01-30_14-19-18-259024
1738271963.328071,932744.000,9436,1,TL,1,100,2025-01-30_14-19-18-356237
1738271968.455226,937871.000,10227,1,TL,1,100,2025-01-30_14-19-23-546378
1738271968.459226,937875.000,10229,1,TL,1,100,2025-01-30_14-19-23-548401
1738271973.581380,942997.000,11014,1,TL,1,100,2025-01-30_14-19-28-527429
1738271973.583380,942999.000,11016,1,TL,1,100,2025-01-30_14-19-28-602148
1738271978.714535,948130.000,11810,1,TL,1,100,2025-01-30_14-19-33-612150
1738271978.720535,948136.000,11812,1,TL,1,100,2025-01-30_14-19-33-729773
1738271978.742536,948158.000,11815,1,TL,1,100,2025-01-30_14-19-38-732374
1738271983.822689,953238.000,12607,1,TL,1,100,2025-01-30_14-19-38-801412
1738271988.960844,958376.000,13398,1,TL,1,100,2025-01-30_14-19-43-899787
1738271988.963844,958379.000,13400,1,TL,1,100,2025-01-30_14-19-44-064035
1738271989.052847,958468.000,13403,1,TL,1,100,2025-01-30_14-19-49-030348
1738271994.068998,963484.000,14197,1,TL,1,100,2025-01-30_14-19-49-108586
1738271999.214154,968629.000,14988,1,TL,1,100,2025-01-30_14-19-54-131125
1738271999.216154,968631.000,14990,1,TL,1,100,2025-01-30_14-19-54-227607
1738271999.239154,968654.000,14993,1,TL,1,100,2025-01-30_14-19-59-225680
1738272004.323308,973738.000,15786,1,TL,1,100,2025-01-30_14-19-59-293173
1738272004.427311,973842.000,15789,1,TL,1,100,2025-01-30_14-20-04-340020
1738272009.446462,978861.000,16584,1,TL,1,100,2025-01-30_14-20-04-458378
1738272009.469463,978884.000,16587,1,TL,1,100,2025-01-30_14-20-09-459276
1738272014.553616,983968.000,17377,1,TL,1,100,2025-01-30_14-20-09-530365
1738272014.590617,984005.000,17380,1,TL,1,100,2025-01-30_14-20-14-579773
1738272019.665770,989080.000,18172,1,TL,1,100,2025-01-30_14-20-14-629975
1738272019.684771,989099.000,18175,1,TL,1,100,2025-01-30_14-20-19-673962
1738272024.802925,994217.000,18985,1,TL,1,100,2025-01-30_14-20-19-714608
