LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738272145.800575,1115211,37797,1,BI,1,100,2070
1738272146.540597,1115951,37907,1,BI,1,100,730
1738272147.340621,1116751,38033,1,BI,1,100,790
1738272149.367682,1118778,38337,1,BI,1,100,2010
1738272150.033703,1119444,38448,1,BI,1,100,660
1738272151.046733,1120457,38608,1,BI,1,100,1000
1738272152.869788,1122280,38880,1,BI,1,100,1810
1738272153.546808,1122957,38991,1,BI,1,100,670
1738272154.543839,1123954,39148,1,BI,1,100,980
1738272154.616841,1124027,39166,1,BI,1,100,80
1738272155.459866,1124870,39293,1,BI,1,100,830
1738272156.133887,1125544,39391,1,BI,1,100,670
1738272158.189949,1127600,39707,1,BI,1,100,2040
1738272159.069975,1128480,39849,1,BI,1,100,870
1738272160.103006,1129513,40007,1,BI,1,100,1020
1738272160.917031,1130327,40135,1,BI,1,100,810
1738272162.913091,1132323,40448,1,BI,1,100,1970
1738272163.653113,1133063,40567,1,BI,1,100,730
1738272164.453138,1133863,40678,1,BI,1,100,800
1738272165.703175,1135113,40885,1,BI,1,100,1230
1738272166.766207,1136176,41043,1,BI,1,100,1060
1738272167.856240,1137266,41215,1,BI,1,100,1080
1738272168.576262,1137986,41332,1,BI,1,100,710
1738272168.836270,1138246,41365,1,BI,1,100,260
1738272171.655355,1141065,41805,1,BI,1,100,2790
1738272172.545382,1141955,41947,1,BI,1,100,880
1738272173.535412,1142945,42095,1,BI,1,100,980
1738272174.189431,1143599,42190,1,BI,1,100,650
1738272175.108459,1144518,42332,1,BI,1,100,910
1738272177.401528,1146811,42695,1,BI,1,100,2270
1738272178.451560,1147861,42857,1,BI,1,100,1040
1738272189.784902,1159194,44586,1,BI,1,100,11220
1738272191.717960,1161127,44885,1,BI,1,100,1920
1738272193.401011,1162810,45153,1,BI,1,100,1660
1738272193.907026,1163316,45237,1,BI,1,100,500
1738272196.131093,1165540,45569,1,BI,1,100,2210
1738272197.917147,1167326,45851,1,BI,1,100,1760
1738272200.980239,1170389,46325,1,BI,1,100,3040
1738272205.653380,1175062,47035,1,BI,1,100,4620
1738272206.600409,1176009,47179,1,BI,1,100,940
1738272207.366432,1176775,47307,1,BI,1,100,760
1738272210.912539,1180321,47844,1,BI,1,100,3510
1738272211.999572,1181408,48016,1,BI,1,100,1080
1738272213.266610,1182675,48205,1,BI,1,100,1250
1738272214.389644,1183798,48384,1,BI,1,100,1110
1738272216.705714,1186114,48747,1,BI,1,100,2300
1738272217.788746,1187197,48904,1,BI,1,100,1070
1738272218.792777,1188201,49062,1,BI,1,100,990
1738272220.128817,1189537,49258,1,BI,1,100,1330
1738272221.225850,1190634,49433,1,BI,1,100,1080
1738272222.385885,1191794,49606,1,BI,1,100,1160
1738272223.601922,1193010,49795,1,BI,1,100,1210
1738272224.868960,1194277,49990,1,BI,1,100,1250
1738272225.948992,1195357,50164,1,BI,1,100,1070
1738272229.422097,1198830,50696,1,BI,1,100,3440
1738272230.602133,1200010,50875,1,BI,1,100,1170
1738272231.701166,1201109,51049,1,BI,1,100,1090
1738272232.828200,1202236,51223,1,BI,1,100,1110
1738272233.874232,1203282,51381,1,BI,1,100,1040
1738272236.278304,1205686,51762,1,BI,1,100,2380
1738272237.344336,1206752,51919,1,BI,1,100,1050
1738272239.751409,1209159,52296,1,BI,1,100,2390
1738272240.910444,1210318,52475,1,BI,1,100,1150
1738272242.147481,1211555,52664,1,BI,1,100,1220
1738272243.094510,1212502,52807,1,BI,1,100,940
1738272244.224544,1213632,52980,1,BI,1,100,1120
1738272245.443580,1214851,53173,1,BI,1,100,1200
1738272246.717619,1216125,53363,1,BI,1,100,1270
1738272247.603646,1217011,53506,1,BI,1,100,870
1738272248.693678,1218101,53680,1,BI,1,100,1080
1738272252.189784,1221597,54216,1,BI,1,100,3460
1738272253.192814,1222600,54373,1,BI,1,100,1000
1738272254.276847,1223684,54531,1,BI,1,100,1070
1738272255.436882,1224844,54711,1,BI,1,100,1150
1738272259.095992,1228503,55276,1,BI,1,100,3620
1738272260.196025,1229603,55449,1,BI,1,100,1090
1738272261.163054,1230570,55599,1,BI,1,100,960
1738272261.313059,1230720,55631,1,BI,1,100,150
1738272262.213086,1231620,55773,1,BI,1,100,890
1738272263.306119,1232713,55931,1,BI,1,100,1080
1738272265.689191,1235096,56296,1,BI,1,100,2360
1738272266.862226,1236269,56488,1,BI,1,100,1160
1738272267.836256,1237243,56645,1,BI,1,100,970
1738272268.825286,1238232,56787,1,BI,1,100,980
1738272269.966320,1239373,56961,1,BI,1,100,1130
1738272271.178357,1240585,57157,1,BI,1,100,1200
1738272272.425394,1241832,57346,1,BI,1,100,1230
1738272273.451425,1242858,57504,1,BI,1,100,1020
1738272274.635461,1244042,57692,1,BI,1,100,1170
1738272275.938500,1245345,57886,1,BI,1,100,1290
1738272276.955531,1246362,58044,1,BI,1,100,1010
1738272278.121566,1247528,58233,1,BI,1,100,1150
1738272279.288601,1248695,58406,1,BI,1,100,1160
1738272280.318632,1249725,58579,1,BI,1,100,1020
1738272281.508668,1250915,58762,1,BI,1,100,1180
1738272282.647703,1252054,58935,1,BI,1,100,1130
1738272283.817738,1253224,59109,1,BI,1,100,1150
1738272284.950772,1254357,59297,1,BI,1,100,1130
1738272285.987803,1255394,59456,1,BI,1,100,1020
1738272287.137838,1256544,59636,1,BI,1,100,1140
1738272288.137868,1257544,59778,1,BI,1,100,990
