LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738257699.322796,2189531,21302,1,SA,1,100,0.000016
1738257699.655811,2189864,21352,1,SA,1,100,0.000014
1738257700.122832,2190331,21447,1,SA,1,100,0.000027
1738257700.655857,2190864,21513,1,SA,1,100,0.000023
1738257701.055875,2191264,21563,1,SA,1,100,0.000018
1738257701.588899,2191797,21646,1,SA,1,100,0.000006
1738257701.788908,2191997,21695,1,SA,1,100,0.000018
1738257702.388936,2192597,21855,1,SA,1,100,0.000062
1738257703.321978,2193530,21989,1,SA,1,100,0.000062
1738257703.989009,2194197,22022,1,SA,1,100,0.000008
1738257704.989054,2195197,22180,1,SA,1,100,0.000011
1738257705.189064,2195397,22229,1,SA,1,100,0.000032
1738257705.656085,2195864,22278,1,SA,1,100,0.000006
1738257705.856094,2196064,22328,1,SA,1,100,0.000012
1738257706.389118,2196597,22457,1,SA,1,100,0.000047
1738257707.189155,2197397,22567,1,SA,1,100,0.000039
1738257707.722179,2197930,22663,1,SA,1,100,0.000039
1738257708.255203,2198463,22700,1,SA,1,100,0.000013
1738257708.855231,2199063,22813,1,SA,1,100,0.000027
1738257709.389255,2199597,22941,1,SA,1,100,0.000042
1738257710.188292,2200396,23053,1,SA,1,100,0.000058
1738257711.388346,2201596,23182,1,SA,1,100,0.000013
1738257711.722362,2201930,23266,1,SA,1,100,0.000017
1738257712.322389,2202530,23377,1,SA,1,100,0.000020
1738257712.855413,2203063,23428,1,SA,1,100,0.000015
1738257713.121426,2203329,23493,1,SA,1,100,0.000024
1738257713.789456,2203997,23624,1,SA,1,100,0.000056
1738257714.589493,2204797,23734,1,SA,1,100,0.000039
1738257715.588538,2205796,23877,1,SA,1,100,0.000022
1738257715.922554,2206130,23956,1,SA,1,100,0.000029
1738257716.388575,2206596,23989,1,SA,1,100,0.000009
1738257717.121608,2207329,24181,1,SA,1,100,0.000055
1738257717.988648,2208196,24230,1,SA,1,100,0.000012
1738257718.188657,2208396,24262,1,SA,1,100,0.000013
1738257718.521672,2208729,24363,1,SA,1,100,0.000036
1738257719.121700,2209329,24411,1,SA,1,100,0.000007
1738257719.321709,2209529,24475,1,SA,1,100,0.000026
1738257719.788730,2209996,24573,1,SA,1,100,0.000034
1738257720.588767,2210796,24716,1,SA,1,100,0.000056
1738257721.187794,2211395,24748,1,SA,1,100,0.000014
1738257721.854824,2212062,24878,1,SA,1,100,0.000029
1738257722.521855,2212729,24956,1,SA,1,100,0.000016
1738257722.921873,2213129,25056,1,SA,1,100,0.000036
1738257724.120928,2214328,25223,1,SA,1,100,0.000013
1738257724.654952,2214862,25320,1,SA,1,100,0.000013
1738257725.121974,2215329,25386,1,SA,1,100,0.000008
1738257725.521992,2215729,25482,1,SA,1,100,0.000033
1738257726.122019,2216329,25548,1,SA,1,100,0.000016
1738257726.388031,2216595,25614,1,SA,1,100,0.000034
1738257726.922056,2217129,25695,1,SA,1,100,0.000024
1738257727.521083,2217728,25759,1,SA,1,100,0.000025
1738257727.921101,2218128,25839,1,SA,1,100,0.000014
1738257728.388123,2218595,25903,1,SA,1,100,0.000019
1738257728.655135,2218862,25972,1,SA,1,100,0.000030
1738257729.254162,2219461,26037,1,SA,1,100,0.000021
1738257730.187205,2220394,26213,1,SA,1,100,0.000043
