LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257294.826330,1785053.000,21262,3,GY,1,100,-2.350
1738257294.866332,1785093.000,21262,3,GY,1,100,-0.671
1738257294.906334,1785133.000,21279,2,GY,1,100,-0.275
1738257294.946336,1785173.000,21279,2,GY,1,100,-0.702
1738257294.992838,1785219.500,21295,2,GY,1,100,-0.427
1738257295.039340,1785266.000,21295,2,GY,1,100,-0.031
1738257295.079342,1785306.000,21312,3,GY,1,100,0.061
1738257295.119344,1785346.000,21312,3,GY,1,100,-0.183
1738257295.159345,1785386.000,21312,3,GY,1,100,-0.092
1738257295.199347,1785426.000,21328,2,GY,1,100,-0.122
1738257295.239349,1785466.000,21328,2,GY,1,100,0.427
1738257295.279351,1785506.000,21345,3,GY,1,100,0.305
1738257295.319353,1785546.000,21345,3,GY,1,100,0.427
1738257295.359354,1785586.000,21345,3,GY,1,100,0.244
1738257295.399356,1785626.000,21362,2,GY,1,100,0.397
1738257295.439358,1785666.000,21362,2,GY,1,100,0.244
1738257295.479360,1785706.000,21378,3,GY,1,100,1.160
1738257295.519362,1785746.000,21378,3,GY,1,100,0.427
1738257295.559364,1785786.000,21378,3,GY,1,100,0.244
1738257295.599365,1785826.000,21394,3,GY,1,100,0.549
1738257295.639367,1785866.000,21394,3,GY,1,100,0.366
1738257295.679369,1785906.000,21394,3,GY,1,100,0.122
1738257295.719371,1785946.000,21414,2,GY,1,100,0.031
1738257295.759373,1785986.000,21414,2,GY,1,100,-0.061
1738257295.799375,1786026.000,21430,3,GY,1,100,0.214
1738257295.839376,1786066.000,21430,3,GY,1,100,0.336
1738257295.879378,1786106.000,21430,3,GY,1,100,0.275
1738257295.919380,1786146.000,21446,2,GY,1,100,0.702
1738257295.959382,1786186.000,21446,2,GY,1,100,0.641
1738257295.999384,1786226.000,21463,3,GY,1,100,0.580
1738257296.039386,1786266.000,21463,3,GY,1,100,0.824
1738257296.079387,1786306.000,21463,3,GY,1,100,0.397
1738257296.119389,1786346.000,21480,2,GY,1,100,0.397
1738257296.159391,1786386.000,21480,2,GY,1,100,0.366
1738257296.199393,1786426.000,21496,3,GY,1,100,0.580
1738257296.239395,1786466.000,21496,3,GY,1,100,0.671
1738257296.279397,1786506.000,21496,3,GY,1,100,0.244
1738257296.319398,1786546.000,21512,2,GY,1,100,0.153
1738257296.359400,1786586.000,21512,2,GY,1,100,0.427
1738257296.399402,1786626.000,21529,3,GY,1,100,0.244
1738257296.439404,1786666.000,21529,3,GY,1,100,0.092
1738257296.479406,1786706.000,21529,3,GY,1,100,0.336
1738257296.519408,1786746.000,21546,2,GY,1,100,0.031
1738257296.559409,1786786.000,21546,2,GY,1,100,0.397
1738257296.599411,1786826.000,21562,3,GY,1,100,0.946
1738257296.639413,1786866.000,21562,3,GY,1,100,0.427
1738257296.679415,1786906.000,21562,3,GY,1,100,0.488
1738257296.719417,1786946.000,21579,2,GY,1,100,0.122
1738257296.759418,1786986.000,21579,2,GY,1,100,0.183
1738257296.799420,1787026.000,21597,3,GY,1,100,0.366
1738257296.839422,1787066.000,21597,3,GY,1,100,0.244
1738257296.879424,1787106.000,21597,3,GY,1,100,0.854
1738257296.919426,1787146.000,21614,3,GY,1,100,0.854
1738257296.959428,1787186.000,21614,3,GY,1,100,0.305
1738257296.999429,1787226.000,21614,3,GY,1,100,-0.214
1738257297.039431,1787266.000,21631,2,GY,1,100,0.000
1738257297.079433,1787306.000,21631,2,GY,1,100,0.488
1738257297.119435,1787346.000,21647,3,GY,1,100,-0.061
1738257297.159437,1787386.000,21647,3,GY,1,100,-0.031
1738257297.199439,1787426.000,21647,3,GY,1,100,0.366
1738257297.239440,1787466.000,21663,2,GY,1,100,-0.031
1738257297.279442,1787506.000,21663,2,GY,1,100,0.275
1738257297.319444,1787546.000,21680,3,GY,1,100,0.458
1738257297.359446,1787586.000,21680,3,GY,1,100,0.641
1738257297.399448,1787626.000,21680,3,GY,1,100,0.183
1738257297.439450,1787666.000,21697,2,GY,1,100,0.610
1738257297.479451,1787706.000,21697,2,GY,1,100,0.305
1738257297.519453,1787746.000,21714,3,GY,1,100,0.305
1738257297.559455,1787786.000,21714,3,GY,1,100,0.183
1738257297.599457,1787826.000,21714,3,GY,1,100,-0.244
1738257297.639459,1787866.000,21729,2,GY,1,100,0.397
1738257297.679461,1787906.000,21729,2,GY,1,100,0.641
1738257297.723796,1787950.333,21747,3,GY,1,100,-0.031
1738257297.768131,1787994.667,21747,3,GY,1,100,0.092
1738257297.812467,1788039.000,21747,3,GY,1,100,0.000
1738257297.852468,1788079.000,21763,2,GY,1,100,0.031
1738257297.892470,1788119.000,21763,2,GY,1,100,0.214
1738257297.932472,1788159.000,21780,3,GY,1,100,-0.061
