LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257289.748598,1779975.500,20408,4,DC,2,100,1
1738257289.774850,1780001.750,20408,4,DC,2,100,EL
1738257289.801101,1780028.000,20408,4,DC,2,100,1
1738257289.825352,1780052.250,20425,4,DC,2,100,EA
1738257289.849603,1780076.500,20425,4,DC,2,100,2
1738257289.873854,1780100.750,20425,4,DC,2,100,EL
1738257289.898105,1780125.000,20425,4,DC,2,100,2
1738257289.923606,1780150.500,20441,4,DC,2,100,EA
1738257289.949108,1780176.000,20441,4,DC,2,100,1
1738257289.974609,1780201.500,20441,4,DC,2,100,EL
1738257290.000110,1780227.000,20441,4,DC,2,100,1
1738257290.025611,1780252.500,20458,4,DC,2,100,EA
1738257290.051112,1780278.000,20458,4,DC,2,100,2
1738257290.076613,1780303.500,20458,4,DC,2,100,EL
1738257290.102114,1780329.000,20458,4,DC,2,100,2
1738257290.127116,1780354.000,20474,4,DC,2,100,EA
1738257290.152117,1780379.000,20474,4,DC,2,100,1
1738257290.177118,1780404.000,20474,4,DC,2,100,EL
1738257290.202119,1780429.000,20474,4,DC,2,100,1
1738257290.227370,1780454.250,20491,4,DC,2,100,EA
1738257290.252621,1780479.500,20491,4,DC,2,100,2
1738257290.277873,1780504.750,20491,4,DC,2,100,EL
1738257290.303124,1780530.000,20491,4,DC,2,100,2
1738257290.328875,1780555.750,20507,4,DC,2,100,EA
1738257290.354626,1780581.500,20507,4,DC,2,100,1
1738257290.380377,1780607.250,20507,4,DC,2,100,EL
1738257290.406128,1780633.000,20507,4,DC,2,100,1
1738257290.431630,1780658.500,20525,4,DC,2,100,EA
1738257290.457131,1780684.000,20525,4,DC,2,100,2
1738257290.482632,1780709.500,20525,4,DC,2,100,EL
1738257290.508133,1780735.000,20525,4,DC,2,100,2
1738257290.533134,1780760.000,20540,4,DC,2,100,EA
1738257290.558135,1780785.000,20540,4,DC,2,100,1
1738257290.583137,1780810.000,20540,4,DC,2,100,EL
1738257290.608138,1780835.000,20540,4,DC,2,100,1
1738257290.633389,1780860.250,20557,4,DC,2,100,EA
1738257290.658640,1780885.500,20557,4,DC,2,100,2
1738257290.683891,1780910.750,20557,4,DC,2,100,EL
1738257290.709142,1780936.000,20557,4,DC,2,100,2
1738257290.735643,1780962.500,20574,4,DC,2,100,EA
1738257290.762145,1780989.000,20574,4,DC,2,100,1
