LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257321.921688,1825119.000,10126,1,T1,1,100,32.694
1738257322.054693,1825252.000,10142,1,T1,1,100,32.690
1738257322.188698,1825386.000,10158,1,T1,1,100,32.795
1738257322.321702,1825519.000,10189,1,T1,1,100,32.805
1738257322.454707,1825652.000,10204,1,T1,1,100,32.809
1738257322.588712,1825786.000,10220,1,T1,1,100,32.811
1738257322.721717,1825919.000,10251,1,T1,1,100,32.776
1738257322.854722,1826052.000,10266,1,T1,1,100,32.832
1738257322.988727,1826186.000,10282,1,T1,1,100,32.857
1738257323.121732,1826319.000,10313,1,T1,1,100,32.867
1738257323.254737,1826452.000,10328,1,T1,1,100,32.765
1738257323.387742,1826585.000,10345,1,T1,1,100,32.757
1738257323.521747,1826719.000,10360,1,T1,1,100,32.788
1738257323.654752,1826852.000,10391,1,T1,1,100,32.767
1738257323.787756,1826985.000,10409,1,T1,1,100,32.793
1738257323.921761,1827119.000,10424,1,T1,1,100,32.910
1738257324.054766,1827252.000,10455,1,T1,1,100,32.748
1738257324.187771,1827385.000,10473,1,T1,1,100,32.643
1738257324.321776,1827519.000,10488,1,T1,1,100,32.704
1738257324.454781,1827652.000,10519,1,T1,1,100,32.730
1738257324.587786,1827785.000,10535,1,T1,1,100,32.848
1738257324.721791,1827919.000,10551,1,T1,1,100,32.863
1738257324.854796,1828052.000,10581,1,T1,1,100,32.764
1738257324.987801,1828185.000,10599,1,T1,1,100,32.898
1738257325.121806,1828319.000,10615,1,T1,1,100,32.885
1738257325.254811,1828452.000,10645,1,T1,1,100,32.844
1738257325.387815,1828585.000,10662,1,T1,1,100,32.826
1738257325.521820,1828719.000,10677,1,T1,1,100,32.677
1738257325.654825,1828852.000,10693,1,T1,1,100,32.718
1738257325.788330,1828985.500,10727,2,T1,1,100,32.701
1738257325.921835,1829119.000,10727,2,T1,1,100,32.764
1738257326.054840,1829252.000,10758,1,T1,1,100,32.721
1738257326.187845,1829385.000,10774,1,T1,1,100,32.737
1738257326.320850,1829518.000,10789,1,T1,1,100,32.815
1738257326.454855,1829652.000,10820,1,T1,1,100,32.849
1738257326.587860,1829785.000,10836,1,T1,1,100,32.757
1738257326.720865,1829918.000,10852,1,T1,1,100,32.789
1738257326.854869,1830052.000,10882,1,T1,1,100,32.731
1738257326.987874,1830185.000,10898,1,T1,1,100,32.884
1738257327.120879,1830318.000,10914,1,T1,1,100,32.879
1738257327.254884,1830452.000,10944,1,T1,1,100,32.770
1738257327.387889,1830585.000,10961,1,T1,1,100,32.688
1738257327.520894,1830718.000,10976,1,T1,1,100,32.794
1738257327.654899,1830852.000,11007,1,T1,1,100,32.875
1738257327.787904,1830985.000,11023,1,T1,1,100,32.875
1738257327.920909,1831118.000,11038,1,T1,1,100,32.769
1738257328.054914,1831252.000,11055,1,T1,1,100,32.723
1738257328.187918,1831385.000,11085,1,T1,1,100,32.809
1738257328.320923,1831518.000,11100,1,T1,1,100,32.846
1738257328.454928,1831652.000,11117,1,T1,1,100,32.934
1738257328.587933,1831785.000,11147,1,T1,1,100,32.794
1738257328.720938,1831918.000,11163,1,T1,1,100,32.804
1738257328.854943,1832052.000,11181,1,T1,1,100,32.738
1738257328.987948,1832185.000,11212,1,T1,1,100,32.958
1738257329.120953,1832318.000,11227,1,T1,1,100,32.840
1738257329.254958,1832452.000,11243,1,T1,1,100,32.895
1738257329.387963,1832585.000,11274,1,T1,1,100,32.777
1738257329.520967,1832718.000,11289,1,T1,1,100,32.904
1738257329.654973,1832852.000,11305,1,T1,1,100,32.958
1738257329.787977,1832985.000,11336,1,T1,1,100,32.876
1738257329.920982,1833118.000,11351,1,T1,1,100,32.911
1738257330.053987,1833251.000,11368,1,T1,1,100,32.820
1738257330.187992,1833385.000,11383,1,T1,1,100,32.922
1738257330.320997,1833518.000,11414,1,T1,1,100,32.789
1738257330.454002,1833651.000,11430,1,T1,1,100,32.802
1738257330.588007,1833785.000,11445,1,T1,1,100,32.879
1738257330.721012,1833918.000,11476,1,T1,1,100,32.806
1738257330.854017,1834051.000,11492,1,T1,1,100,32.881
1738257330.988022,1834185.000,11514,1,T1,1,100,32.877
1738257331.121027,1834318.000,11545,1,T1,1,100,32.805
1738257331.254031,1834451.000,11561,1,T1,1,100,32.774
1738257331.388036,1834585.000,11577,1,T1,1,100,32.796
1738257331.521041,1834718.000,11607,1,T1,1,100,32.876
1738257331.655046,1834852.000,11623,1,T1,1,100,32.946
1738257331.788051,1834985.000,11639,1,T1,1,100,32.941
1738257331.921056,1835118.000,11669,1,T1,1,100,32.868
1738257332.054061,1835251.000,11686,1,T1,1,100,32.837
1738257332.188066,1835385.000,11701,1,T1,1,100,32.823
1738257332.321071,1835518.000,11717,1,T1,1,100,32.711
1738257332.454076,1835651.000,11750,1,T1,1,100,32.804
1738257332.588080,1835785.000,11765,1,T1,1,100,32.773
1738257332.721085,1835918.000,11782,1,T1,1,100,32.725
1738257332.854090,1836051.000,11812,1,T1,1,100,32.774
1738257332.988095,1836185.000,11827,1,T1,1,100,32.832
1738257333.121100,1836318.000,11844,1,T1,1,100,32.892
1738257333.254105,1836451.000,11874,1,T1,1,100,32.740
1738257333.387110,1836584.000,11890,1,T1,1,100,32.710
1738257333.521115,1836718.000,11906,1,T1,1,100,32.875
1738257333.654120,1836851.000,11937,1,T1,1,100,32.875
1738257333.787125,1836984.000,11954,1,T1,1,100,32.839
1738257333.921129,1837118.000,11970,1,T1,1,100,32.824
1738257334.054134,1837251.000,12001,1,T1,1,100,32.747
1738257334.187139,1837384.000,12016,1,T1,1,100,32.749
1738257334.321144,1837518.000,12032,1,T1,1,100,32.785
1738257334.454149,1837651.000,12048,1,T1,1,100,32.730
1738257334.587154,1837784.000,12078,1,T1,1,100,32.741
1738257334.721159,1837918.000,12095,1,T1,1,100,32.782
1738257334.854164,1838051.000,12110,1,T1,1,100,32.835
1738257334.987169,1838184.000,12141,1,T1,1,100,32.822
1738257335.121174,1838318.000,12157,1,T1,1,100,32.852
1738257335.254179,1838451.000,12172,1,T1,1,100,32.971
1738257335.387184,1838584.000,12203,1,T1,1,100,32.881
1738257335.521188,1838718.000,12219,1,T1,1,100,32.807
1738257335.654193,1838851.000,12234,1,T1,1,100,32.810
1738257335.787198,1838984.000,12265,1,T1,1,100,32.811
1738257335.921203,1839118.000,12281,1,T1,1,100,32.847
1738257336.054208,1839251.000,12301,1,T1,1,100,32.934
1738257336.187213,1839384.000,12316,1,T1,1,100,32.901
1738257336.321218,1839518.000,12332,1,T1,1,100,32.815
1738257336.454223,1839651.000,12348,1,T1,1,100,32.849
1738257336.587228,1839784.000,12378,1,T1,1,100,32.864
1738257336.720233,1839917.000,12395,1,T1,1,100,32.799
1738257336.854238,1840051.000,12410,1,T1,1,100,32.913
1738257336.987242,1840184.000,12441,1,T1,1,100,32.785
1738257337.120247,1840317.000,12457,1,T1,1,100,32.836
1738257337.254252,1840451.000,12472,1,T1,1,100,32.894
1738257337.387257,1840584.000,12503,1,T1,1,100,32.848
1738257337.520262,1840717.000,12519,1,T1,1,100,32.899
1738257337.654267,1840851.000,12534,1,T1,1,100,32.850
1738257337.787272,1840984.000,12565,1,T1,1,100,32.829
