LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260763.738454,616270.000,31352,2,EL,1,100,-13448.400391
1738260763.805457,616337.000,31373,1,EL,1,100,-13449.000000
1738260763.871959,616403.500,31390,2,EL,1,100,-13449.200195
1738260763.938462,616470.000,31390,2,EL,1,100,-13450.000000
1738260764.005464,616537.000,31406,1,EL,1,100,-13450.200195
1738260764.071967,616603.500,31421,2,EL,1,100,-13451.000000
1738260764.138469,616670.000,31421,2,EL,1,100,-13451.400391
1738260764.204472,616736.000,31437,1,EL,1,100,-13452.000000
1738260764.271474,616803.000,31452,2,EL,1,100,-13452.799805
1738260764.338477,616870.000,31452,2,EL,1,100,-13453.000000
1738260764.405479,616937.000,31469,1,EL,1,100,-13453.200195
1738260764.471982,617003.500,31486,2,EL,1,100,-13454.000000
1738260764.538485,617070.000,31486,2,EL,1,100,-13453.799805
1738260764.605487,617137.000,31501,1,EL,1,100,-13454.200195
1738260764.671990,617203.500,31517,2,EL,1,100,-13454.000000
1738260764.738492,617270.000,31517,2,EL,1,100,-13454.599609
1738260764.804995,617336.500,31533,2,EL,1,100,-13456.000000
1738260764.871497,617403.000,31533,2,EL,1,100,-13457.000000
1738260764.938500,617470.000,31548,1,EL,1,100,-13457.000000
1738260765.005002,617536.500,31564,2,EL,1,100,-13458.000000
1738260765.071505,617603.000,31564,2,EL,1,100,-13457.799805
1738260765.138507,617670.000,31579,1,EL,1,100,-13457.799805
1738260765.205010,617736.500,31595,2,EL,1,100,-13457.799805
1738260765.271513,617803.000,31595,2,EL,1,100,-13458.200195
1738260765.338515,617870.000,31610,1,EL,1,100,-13459.000000
1738260765.405017,617936.500,31626,2,EL,1,100,-13459.400391
1738260765.471520,618003.000,31626,2,EL,1,100,-13460.000000
1738260765.538522,618070.000,31641,1,EL,1,100,-13460.599609
1738260765.605025,618136.500,31657,2,EL,1,100,-13461.000000
1738260765.671528,618203.000,31657,2,EL,1,100,-13461.599609
1738260765.738530,618270.000,31673,1,EL,1,100,-13462.200195
1738260765.805033,618336.500,31688,2,EL,1,100,-13462.799805
1738260765.871535,618403.000,31688,2,EL,1,100,-13463.400391
1738260765.938538,618470.000,31703,1,EL,1,100,-13464.599609
1738260766.005040,618536.500,31720,2,EL,1,100,-13464.599609
1738260766.071543,618603.000,31720,2,EL,1,100,-13464.599609
1738260766.138545,618670.000,31737,1,EL,1,100,-13464.799805
1738260766.205048,618736.500,31752,2,EL,1,100,-13465.000000
1738260766.271550,618803.000,31752,2,EL,1,100,-13465.200195
1738260766.338553,618870.000,31767,1,EL,1,100,-13465.599609
1738260766.405056,618936.500,31784,2,EL,1,100,-13466.000000
1738260766.471558,619003.000,31784,2,EL,1,100,-13466.000000
1738260766.538560,619070.000,31799,1,EL,1,100,-13466.400391
1738260766.605063,619136.500,31815,2,EL,1,100,-13467.200195
1738260766.671566,619203.000,31815,2,EL,1,100,-13467.000000
1738260766.738568,619270.000,31830,1,EL,1,100,-13467.000000
1738260766.805071,619336.500,31846,2,EL,1,100,-13467.799805
1738260766.871573,619403.000,31846,2,EL,1,100,-13469.200195
1738260766.938076,619469.500,31863,2,EL,1,100,-13470.000000
1738260767.004578,619536.000,31863,2,EL,1,100,-13470.000000
1738260767.071581,619603.000,31880,1,EL,1,100,-13470.000000
1738260767.138083,619669.500,31894,2,EL,1,100,-13470.799805
1738260767.204586,619736.000,31894,2,EL,1,100,-13471.000000
1738260767.271588,619803.000,31910,1,EL,1,100,-13471.000000
1738260767.338091,619869.500,31926,2,EL,1,100,-13472.000000
1738260767.404593,619936.000,31926,2,EL,1,100,-13472.000000
1738260767.471596,620003.000,31944,1,EL,1,100,-13473.000000
1738260767.538098,620069.500,31958,2,EL,1,100,-13473.000000
1738260767.604601,620136.000,31958,2,EL,1,100,-13473.000000
1738260767.671603,620203.000,31974,1,EL,1,100,-13473.200195
1738260767.738106,620269.500,31990,2,EL,1,100,-13473.799805
1738260767.804609,620336.000,31990,2,EL,1,100,-13474.400391
1738260767.871611,620403.000,32006,1,EL,1,100,-13475.000000
1738260767.938114,620469.500,32022,2,EL,1,100,-13475.000000
