LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257281.722012,1754787.667,16533,9,PI,1,100,164918
1738257281.732346,1754798.000,16533,9,PI,1,100,164909
1738257281.742679,1754808.333,16533,9,PI,1,100,164885
1738257281.753013,1754818.667,16533,9,PI,1,100,164854
1738257281.763347,1754829.000,16533,9,PI,1,100,164838
1738257281.773681,1754839.333,16533,9,PI,1,100,164877
1738257281.784015,1754849.667,16533,9,PI,1,100,164888
1738257281.794348,1754860.000,16533,9,PI,1,100,164919
1738257281.804076,1754869.727,16550,11,PI,1,100,164889
1738257281.813804,1754879.455,16550,11,PI,1,100,164928
1738257281.823531,1754889.182,16550,11,PI,1,100,164900
1738257281.833259,1754898.909,16550,11,PI,1,100,164888
1738257281.842987,1754908.636,16550,11,PI,1,100,164904
1738257281.852715,1754918.364,16550,11,PI,1,100,164879
1738257281.862442,1754928.091,16550,11,PI,1,100,164922
1738257281.872170,1754937.818,16550,11,PI,1,100,164924
1738257281.881898,1754947.545,16550,11,PI,1,100,164912
1738257281.891625,1754957.273,16550,11,PI,1,100,164903
1738257281.901353,1754967.000,16550,11,PI,1,100,164940
1738257281.911687,1754977.333,16566,9,PI,1,100,164945
1738257281.922021,1754987.667,16566,9,PI,1,100,164946
1738257281.932354,1754998.000,16566,9,PI,1,100,164960
1738257281.942688,1755008.333,16566,9,PI,1,100,164956
1738257281.953022,1755018.667,16566,9,PI,1,100,164933
1738257281.963356,1755029.000,16566,9,PI,1,100,164962
1738257281.973690,1755039.333,16566,9,PI,1,100,164980
1738257281.984023,1755049.667,16566,9,PI,1,100,164946
1738257281.994357,1755060.000,16566,9,PI,1,100,164955
1738257282.004085,1755069.727,16583,11,PI,1,100,164952
1738257282.013813,1755079.455,16583,11,PI,1,100,164963
1738257282.023540,1755089.182,16583,11,PI,1,100,164960
1738257282.033268,1755098.909,16583,11,PI,1,100,165002
1738257282.042996,1755108.636,16583,11,PI,1,100,164932
1738257282.052723,1755118.364,16583,11,PI,1,100,164993
1738257282.062451,1755128.091,16583,11,PI,1,100,164943
1738257282.072179,1755137.818,16583,11,PI,1,100,164979
1738257282.081906,1755147.545,16583,11,PI,1,100,164992
1738257282.091634,1755157.273,16583,11,PI,1,100,164998
1738257282.101362,1755167.000,16583,11,PI,1,100,164979
1738257282.112062,1755177.700,16599,10,PI,1,100,164987
1738257282.122763,1755188.400,16599,10,PI,1,100,164975
1738257282.133463,1755199.100,16599,10,PI,1,100,164985
1738257282.144164,1755209.800,16599,10,PI,1,100,164948
1738257282.154864,1755220.500,16599,10,PI,1,100,165007
1738257282.165565,1755231.200,16599,10,PI,1,100,164972
1738257282.176265,1755241.900,16599,10,PI,1,100,164990
1738257282.186965,1755252.600,16599,10,PI,1,100,165011
1738257282.197666,1755263.300,16599,10,PI,1,100,164998
1738257282.208366,1755274.000,16599,10,PI,1,100,165007
1738257282.217667,1755283.300,16616,10,PI,1,100,165012
1738257282.226967,1755292.600,16616,10,PI,1,100,164980
1738257282.236268,1755301.900,16616,10,PI,1,100,165004
1738257282.245568,1755311.200,16616,10,PI,1,100,165038
1738257282.254869,1755320.500,16616,10,PI,1,100,164991
1738257282.264169,1755329.800,16616,10,PI,1,100,165016
1738257282.273469,1755339.100,16616,10,PI,1,100,165016
1738257282.282770,1755348.400,16616,10,PI,1,100,165032
1738257282.292070,1755357.700,16616,10,PI,1,100,165008
1738257282.301371,1755367.000,16616,10,PI,1,100,165016
1738257282.312071,1755377.700,16632,10,PI,1,100,165011
1738257282.322772,1755388.400,16632,10,PI,1,100,164985
1738257282.333472,1755399.100,16632,10,PI,1,100,165030
1738257282.344172,1755409.800,16632,10,PI,1,100,165013
1738257282.354873,1755420.500,16632,10,PI,1,100,165032
1738257282.365573,1755431.200,16632,10,PI,1,100,165032
1738257282.376274,1755441.900,16632,10,PI,1,100,165042
1738257282.386974,1755452.600,16632,10,PI,1,100,165026
1738257282.397675,1755463.300,16632,10,PI,1,100,165044
1738257282.408375,1755474.000,16632,10,PI,1,100,165082
1738257282.418012,1755483.636,16649,11,PI,1,100,165060
1738257282.427649,1755493.273,16649,11,PI,1,100,165073
1738257282.437286,1755502.909,16649,11,PI,1,100,165033
1738257282.446922,1755512.545,16649,11,PI,1,100,165006
1738257282.456559,1755522.182,16649,11,PI,1,100,165051
1738257282.466196,1755531.818,16649,11,PI,1,100,165006
1738257282.475833,1755541.455,16649,11,PI,1,100,165049
1738257282.485470,1755551.091,16649,11,PI,1,100,165039
1738257282.495106,1755560.727,16649,11,PI,1,100,165057
1738257282.504743,1755570.364,16649,11,PI,1,100,165054
1738257282.514380,1755580.000,16649,11,PI,1,100,165066
1738257282.524825,1755590.444,16665,9,PI,1,100,165061
1738257282.535270,1755600.889,16665,9,PI,1,100,165038
1738257282.545715,1755611.333,16665,9,PI,1,100,165087
1738257282.556159,1755621.778,16665,9,PI,1,100,165066
1738257282.566604,1755632.222,16665,9,PI,1,100,165047
1738257282.577049,1755642.667,16665,9,PI,1,100,165056
1738257282.587494,1755653.111,16665,9,PI,1,100,165030
1738257282.597939,1755663.556,16665,9,PI,1,100,165058
1738257282.608384,1755674.000,16665,9,PI,1,100,165055
1738257282.618021,1755683.636,16682,11,PI,1,100,165067
1738257282.627657,1755693.273,16682,11,PI,1,100,165059
1738257282.637294,1755702.909,16682,11,PI,1,100,165073
1738257282.646931,1755712.545,16682,11,PI,1,100,165067
1738257282.656568,1755722.182,16682,11,PI,1,100,165064
1738257282.666205,1755731.818,16682,11,PI,1,100,165080
1738257282.675842,1755741.455,16682,11,PI,1,100,165082
1738257282.685478,1755751.091,16682,11,PI,1,100,165079
1738257282.695115,1755760.727,16682,11,PI,1,100,165104
1738257282.704752,1755770.364,16682,11,PI,1,100,165079
1738257282.714389,1755780.000,16682,11,PI,1,100,165060
1738257282.724722,1755790.333,16699,9,PI,1,100,165097
1738257282.735056,1755800.667,16699,9,PI,1,100,165101
1738257282.745390,1755811.000,16699,9,PI,1,100,165102
1738257282.755724,1755821.333,16699,9,PI,1,100,165105
1738257282.766057,1755831.667,16699,9,PI,1,100,165114
1738257282.776391,1755842.000,16699,9,PI,1,100,165085
1738257282.786725,1755852.333,16699,9,PI,1,100,165104
1738257282.797059,1755862.667,16699,9,PI,1,100,165111
1738257282.807393,1755873.000,16699,9,PI,1,100,165106
1738257282.817120,1755882.727,16716,11,PI,1,100,165115
1738257282.826848,1755892.455,16716,11,PI,1,100,165117
1738257282.836576,1755902.182,16716,11,PI,1,100,165072
1738257282.846303,1755911.909,16716,11,PI,1,100,165096
1738257282.856031,1755921.636,16716,11,PI,1,100,165127
1738257282.865759,1755931.364,16716,11,PI,1,100,165085
1738257282.875487,1755941.091,16716,11,PI,1,100,165108
1738257282.885214,1755950.818,16716,11,PI,1,100,165134
1738257282.894942,1755960.545,16716,11,PI,1,100,165108
1738257282.904670,1755970.273,16716,11,PI,1,100,165132
1738257282.914397,1755980.000,16716,11,PI,1,100,165124
1738257282.925098,1755990.700,16731,10,PI,1,100,165133
1738257282.935798,1756001.400,16731,10,PI,1,100,165106
