LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257286.954574,1760020.000,17399,3,MZ,1,100,-23
1738257286.994576,1760060.000,17414,3,MZ,1,100,-21
1738257287.034577,1760100.000,17414,3,MZ,1,100,-24
1738257287.074579,1760140.000,17414,3,MZ,1,100,-22
1738257287.114581,1760180.000,17432,2,MZ,1,100,-21
1738257287.154583,1760220.000,17432,2,MZ,1,100,-23
1738257287.194584,1760260.000,17448,3,MZ,1,100,-22
1738257287.234586,1760300.000,17448,3,MZ,1,100,-22
1738257287.274588,1760340.000,17448,3,MZ,1,100,-23
1738257287.314590,1760380.000,17465,2,MZ,1,100,-22
1738257287.354591,1760420.000,17465,2,MZ,1,100,-21
1738257287.394593,1760460.000,17482,3,MZ,1,100,-22
1738257287.434595,1760500.000,17482,3,MZ,1,100,-24
1738257287.474597,1760540.000,17482,3,MZ,1,100,-22
1738257287.514598,1760580.000,17498,2,MZ,1,100,-24
1738257287.554600,1760620.000,17498,2,MZ,1,100,-22
1738257287.594602,1760660.000,17514,3,MZ,1,100,-22
1738257287.634604,1760700.000,17514,3,MZ,1,100,-23
1738257287.674605,1760740.000,17514,3,MZ,1,100,-22
1738257287.714607,1760780.000,17534,2,MZ,1,100,-21
1738257287.754609,1760820.000,17534,2,MZ,1,100,-23
1738257287.798944,1760864.333,17550,3,MZ,1,100,-22
1738257287.843279,1760908.667,17550,3,MZ,1,100,-21
1738257287.887614,1760953.000,17550,3,MZ,1,100,-23
1738257287.927616,1760993.000,17566,2,MZ,1,100,-22
1738257287.967618,1761033.000,17566,2,MZ,1,100,-22
1738257288.007620,1761073.000,17583,3,MZ,1,100,-24
1738257288.047621,1761113.000,17583,3,MZ,1,100,-21
1738257288.087623,1761153.000,17583,3,MZ,1,100,-21
1738257288.127625,1761193.000,17600,2,MZ,1,100,-23
1738257288.167627,1761233.000,17600,2,MZ,1,100,-22
1738257288.207628,1761273.000,17616,3,MZ,1,100,-22
1738257288.247630,1761313.000,17616,3,MZ,1,100,-24
1738257288.287632,1761353.000,17616,3,MZ,1,100,-21
1738257288.327634,1761393.000,17632,2,MZ,1,100,-22
1738257288.367635,1761433.000,17632,2,MZ,1,100,-24
1738257288.407637,1761473.000,17649,3,MZ,1,100,-20
1738257288.447639,1761513.000,17649,3,MZ,1,100,-23
1738257288.487641,1761553.000,17649,3,MZ,1,100,-24
1738257288.527642,1761593.000,17666,3,MZ,1,100,-21
1738257288.567644,1761633.000,17666,3,MZ,1,100,-23
1738257288.607646,1761673.000,17666,3,MZ,1,100,-23
1738257288.647648,1761713.000,17682,2,MZ,1,100,-22
1738257288.687649,1761753.000,17682,2,MZ,1,100,-22
1738257288.727651,1761793.000,17700,3,MZ,1,100,-23
1738257288.767653,1761833.000,17700,3,MZ,1,100,-20
1738257288.807655,1761873.000,17700,3,MZ,1,100,-23
1738257288.847656,1761913.000,17715,2,MZ,1,100,-23
1738257288.887658,1761953.000,17715,2,MZ,1,100,-21
1738257288.927660,1761993.000,17732,3,MZ,1,100,-23
1738257288.967662,1762033.000,17732,3,MZ,1,100,-24
1738257289.007663,1762073.000,17732,3,MZ,1,100,-21
1738257289.047665,1762113.000,17749,2,MZ,1,100,-24
1738257289.087667,1762153.000,17749,2,MZ,1,100,-25
1738257289.134169,1762199.500,17766,2,MZ,1,100,-21
1738257289.180671,1762246.000,17766,2,MZ,1,100,-23
1738257289.220673,1762286.000,17781,3,MZ,1,100,-23
1738257289.260674,1762326.000,17781,3,MZ,1,100,-21
1738257289.300676,1762366.000,17781,3,MZ,1,100,-23
1738257289.341012,1762406.333,17799,3,MZ,1,100,-23
1738257289.381346,1762446.667,17799,3,MZ,1,100,-22
1738257289.421682,1762487.000,17799,3,MZ,1,100,-23
1738257289.461183,1762526.500,17815,2,MZ,1,100,-22
1738257289.500685,1762566.000,17815,2,MZ,1,100,-21
1738257289.541020,1762606.333,17832,3,MZ,1,100,-23
1738257289.581355,1762646.667,17832,3,MZ,1,100,-23
1738257289.621690,1762687.000,17832,3,MZ,1,100,-21
1738257289.661192,1762726.500,17847,2,MZ,1,100,-23
1738257289.700694,1762766.000,17847,2,MZ,1,100,-23
1738257289.740695,1762806.000,17865,3,MZ,1,100,-20
1738257289.780697,1762846.000,17865,3,MZ,1,100,-23
