LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738263941.391885,206010.500,30455,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263941.442386,206061.000,30455,4,EM,1,100,PS
1738263941.492638,206111.250,30487,4,EM,1,100,RS
1738263941.542891,206161.500,30487,4,EM,1,100,RB
1738263941.593143,206211.750,30487,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263941.643394,206262.000,30487,4,EM,1,100,PS
1738263941.693646,206312.250,30521,4,EM,1,100,RS
1738263941.743898,206362.500,30521,4,EM,1,100,RB
1738263941.794150,206412.750,30521,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263941.844402,206463.000,30521,4,EM,1,100,PS
1738263941.894654,206513.250,30554,4,EM,1,100,RS
1738263941.944906,206563.500,30554,4,EM,1,100,RB
1738263941.995158,206613.750,30554,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263942.045410,206664.000,30554,4,EM,1,100,PS
1738263942.095662,206714.250,30589,4,EM,1,100,RS
1738263942.145914,206764.500,30589,4,EM,1,100,RB
1738263942.196166,206814.750,30589,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263942.246418,206865.000,30589,4,EM,1,100,PS
1738263942.297670,206916.250,30623,4,EM,1,100,RS
1738263942.348922,206967.500,30623,4,EM,1,100,RB
1738263942.400174,207018.750,30623,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263942.451426,207070.000,30623,4,EM,1,100,PS
1738263942.501428,207120.000,30655,4,EM,1,100,RS
1738263942.551430,207170.000,30655,4,EM,1,100,RB
1738263942.601432,207220.000,30655,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263942.651434,207270.000,30655,4,EM,1,100,PS
1738263942.701686,207320.250,30689,4,EM,1,100,RS
1738263942.751938,207370.500,30689,4,EM,1,100,RB
1738263942.802190,207420.750,30689,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263942.852442,207471.000,30689,4,EM,1,100,PS
1738263942.902694,207521.250,30722,4,EM,1,100,RS
1738263942.952946,207571.500,30722,4,EM,1,100,RB
1738263943.003198,207621.750,30722,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263943.053450,207672.000,30722,4,EM,1,100,PS
1738263943.103702,207722.250,30757,4,EM,1,100,RS
1738263943.153954,207772.500,30757,4,EM,1,100,RB
1738263943.204206,207822.750,30757,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263943.254458,207873.000,30757,4,EM,1,100,PS
1738263943.304960,207923.500,30790,4,EM,1,100,RS
1738263943.355462,207974.000,30790,4,EM,1,100,RB
1738263943.405964,208024.500,30790,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263943.456466,208075.000,30790,4,EM,1,100,PS
1738263943.506718,208125.250,30823,4,EM,1,100,RS
1738263943.556970,208175.500,30823,4,EM,1,100,RB
1738263943.607222,208225.750,30823,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263943.657474,208276.000,30823,4,EM,1,100,PS
1738263943.707726,208326.250,30856,4,EM,1,100,RS
1738263943.757977,208376.500,30856,4,EM,1,100,RB
1738263943.808229,208426.750,30856,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263943.858481,208477.000,30856,4,EM,1,100,PS
1738263943.908733,208527.250,30890,4,EM,1,100,RS
1738263943.958985,208577.500,30890,4,EM,1,100,RB
1738263944.009238,208627.750,30890,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263944.059489,208678.000,30890,4,EM,1,100,PS
1738263944.110491,208729.000,30922,4,EM,1,100,RS
1738263944.161493,208780.000,30922,4,EM,1,100,RB
1738263944.212495,208831.000,30922,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263944.263497,208882.000,30922,4,EM,1,100,PS
1738263944.313749,208932.250,30956,4,EM,1,100,RS
1738263944.364001,208982.500,30956,4,EM,1,100,RB
1738263944.414253,209032.750,30956,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263944.464505,209083.000,30956,4,EM,1,100,PS
1738263944.514507,209133.000,30988,4,EM,1,100,RS
1738263944.564509,209183.000,30988,4,EM,1,100,RB
1738263944.614511,209233.000,30988,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263944.664513,209283.000,30988,4,EM,1,100,PS
1738263944.740766,209359.250,31027,4,EM,1,100,RS
1738263944.817019,209435.500,31027,4,EM,1,100,RB
1738263944.893272,209511.750,31027,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263944.969525,209588.000,31027,4,EM,1,100,PS
1738263945.019777,209638.250,31061,4,EM,1,100,RS
1738263945.070029,209688.500,31061,4,EM,1,100,RB
1738263945.120281,209738.750,31061,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263945.170533,209789.000,31061,4,EM,1,100,PS
1738263945.220785,209839.250,31093,4,EM,1,100,RS
1738263945.271037,209889.500,31093,4,EM,1,100,RB
1738263945.321289,209939.750,31093,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263945.371541,209990.000,31093,4,EM,1,100,PS
1738263945.421793,210040.250,31129,4,EM,1,100,RS
1738263945.472045,210090.500,31129,4,EM,1,100,RB
1738263945.522297,210140.750,31129,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263945.572549,210191.000,31129,4,EM,1,100,PS
1738263945.622801,210241.250,31164,4,EM,1,100,RS
1738263945.673053,210291.500,31164,4,EM,1,100,RB
1738263945.723305,210341.750,31164,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263945.773557,210392.000,31164,4,EM,1,100,PS
1738263945.824059,210442.500,31197,4,EM,1,100,RS
1738263945.874561,210493.000,31197,4,EM,1,100,RB
1738263945.925063,210543.500,31197,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263945.975565,210594.000,31197,4,EM,1,100,PS
