LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271590.235374,576547.000,25252,2,GX,1,100,-0.092
1738271590.275375,576587.000,25252,2,GX,1,100,-0.061
1738271590.315377,576627.000,25270,3,GX,1,100,-0.122
1738271590.355378,576667.000,25270,3,GX,1,100,-0.061
1738271590.395380,576707.000,25270,3,GX,1,100,0.000
1738271590.435382,576747.000,25287,2,GX,1,100,-0.061
1738271590.475383,576787.000,25287,2,GX,1,100,-0.092
1738271590.521885,576833.500,25304,2,GX,1,100,-0.092
1738271590.568387,576880.000,25304,2,GX,1,100,-0.061
1738271590.608389,576920.000,25320,3,GX,1,100,-0.092
1738271590.648390,576960.000,25320,3,GX,1,100,-0.092
1738271590.688392,577000.000,25320,3,GX,1,100,0.031
1738271590.728394,577040.000,25336,2,GX,1,100,0.153
1738271590.768395,577080.000,25336,2,GX,1,100,0.061
1738271590.808397,577120.000,25353,3,GX,1,100,-0.092
1738271590.848398,577160.000,25353,3,GX,1,100,-0.061
1738271590.888400,577200.000,25353,3,GX,1,100,0.000
1738271590.928402,577240.000,25370,2,GX,1,100,-0.031
1738271590.968403,577280.000,25370,2,GX,1,100,-0.031
1738271591.008405,577320.000,25386,3,GX,1,100,0.000
1738271591.048407,577360.000,25386,3,GX,1,100,-0.031
1738271591.088408,577400.000,25386,3,GX,1,100,-0.061
1738271591.128910,577440.500,25402,2,GX,1,100,0.000
1738271591.169411,577481.000,25402,2,GX,1,100,-0.031
1738271591.209080,577520.667,25420,3,GX,1,100,-0.031
1738271591.248748,577560.333,25420,3,GX,1,100,-0.061
1738271591.288416,577600.000,25420,3,GX,1,100,-0.092
1738271591.328418,577640.000,25436,3,GX,1,100,0.000
1738271591.368419,577680.000,25436,3,GX,1,100,0.061
1738271591.408421,577720.000,25436,3,GX,1,100,0.031
1738271591.448423,577760.000,25452,2,GX,1,100,-0.031
1738271591.488424,577800.000,25452,2,GX,1,100,-0.031
1738271591.528426,577840.000,25469,3,GX,1,100,0.000
1738271591.568428,577880.000,25469,3,GX,1,100,0.061
1738271591.608429,577920.000,25469,3,GX,1,100,0.183
1738271591.648431,577960.000,25486,2,GX,1,100,0.122
1738271591.688432,578000.000,25486,2,GX,1,100,-0.061
1738271591.728434,578040.000,25502,3,GX,1,100,0.000
1738271591.768436,578080.000,25502,3,GX,1,100,0.000
1738271591.808437,578120.000,25502,3,GX,1,100,0.000
