LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265311.428891,1585475.300,47726,10,PG,1,100,4945
1738265311.440252,1585486.000,47726,10,PG,1,100,4965
1738265311.450126,1585495.300,47744,10,PG,1,100,4975
1738265311.460000,1585504.600,47744,10,PG,1,100,4965
1738265311.469874,1585513.900,47744,10,PG,1,100,4947
1738265311.479748,1585523.200,47744,10,PG,1,100,4948
1738265311.489622,1585532.500,47744,10,PG,1,100,4958
1738265311.499496,1585541.800,47744,10,PG,1,100,4939
1738265311.509369,1585551.100,47744,10,PG,1,100,4959
1738265311.519243,1585560.400,47744,10,PG,1,100,4973
1738265311.529117,1585569.700,47744,10,PG,1,100,4976
1738265311.538991,1585579.000,47744,10,PG,1,100,4952
1738265311.550352,1585589.700,47759,10,PG,1,100,4954
1738265311.561712,1585600.400,47759,10,PG,1,100,4959
1738265311.573072,1585611.100,47759,10,PG,1,100,4929
1738265311.584433,1585621.800,47759,10,PG,1,100,4950
1738265311.595793,1585632.500,47759,10,PG,1,100,4946
1738265311.607153,1585643.200,47759,10,PG,1,100,4944
1738265311.618514,1585653.900,47759,10,PG,1,100,4954
1738265311.629874,1585664.600,47759,10,PG,1,100,4951
1738265311.641235,1585675.300,47759,10,PG,1,100,4963
1738265311.652595,1585686.000,47759,10,PG,1,100,4971
1738265311.662469,1585695.300,47776,10,PG,1,100,4935
1738265311.672343,1585704.600,47776,10,PG,1,100,4931
1738265311.682217,1585713.900,47776,10,PG,1,100,4958
1738265311.692091,1585723.200,47776,10,PG,1,100,4985
1738265311.701965,1585732.500,47776,10,PG,1,100,4969
1738265311.711839,1585741.800,47776,10,PG,1,100,4971
1738265311.721713,1585751.100,47776,10,PG,1,100,4953
1738265311.731586,1585760.400,47776,10,PG,1,100,4947
1738265311.741461,1585769.700,47776,10,PG,1,100,4937
1738265311.751334,1585779.000,47776,10,PG,1,100,4950
1738265311.762695,1585789.700,47790,10,PG,1,100,4970
1738265311.774055,1585800.400,47790,10,PG,1,100,4960
1738265311.785415,1585811.100,47790,10,PG,1,100,5022
1738265311.796776,1585821.800,47790,10,PG,1,100,4943
1738265311.808136,1585832.500,47790,10,PG,1,100,4972
1738265311.819497,1585843.200,47790,10,PG,1,100,4937
1738265311.830857,1585853.900,47790,10,PG,1,100,4945
1738265311.842217,1585864.600,47790,10,PG,1,100,4952
1738265311.853578,1585875.300,47790,10,PG,1,100,4970
1738265311.864938,1585886.000,47790,10,PG,1,100,4976
1738265311.875909,1585896.333,47806,9,PG,1,100,4957
1738265311.886880,1585906.667,47806,9,PG,1,100,4966
1738265311.897851,1585917.000,47806,9,PG,1,100,4981
1738265311.908822,1585927.333,47806,9,PG,1,100,4994
1738265311.919793,1585937.667,47806,9,PG,1,100,4979
1738265311.930764,1585948.000,47806,9,PG,1,100,4978
1738265311.941735,1585958.333,47806,9,PG,1,100,4941
