LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263934.611347,205877.000,30134,3,GZ,1,100,0.397
1738263934.651349,205917.000,30134,3,GZ,1,100,0.305
1738263934.691350,205957.000,30134,3,GZ,1,100,0.183
1738263934.731352,205997.000,30148,2,GZ,1,100,0.153
1738263934.771353,206037.000,30148,2,GZ,1,100,0.153
1738263934.811355,206077.000,30164,3,GZ,1,100,0.427
1738263934.851356,206117.000,30164,3,GZ,1,100,0.610
1738263934.891358,206157.000,30164,3,GZ,1,100,0.641
1738263934.931359,206197.000,30180,2,GZ,1,100,0.916
1738263934.971361,206237.000,30180,2,GZ,1,100,1.068
1738263935.011362,206277.000,30196,3,GZ,1,100,1.038
1738263935.051364,206317.000,30196,3,GZ,1,100,1.099
1738263935.091365,206357.000,30196,3,GZ,1,100,1.282
1738263935.131367,206397.000,30210,2,GZ,1,100,1.190
1738263935.171368,206437.000,30210,2,GZ,1,100,1.038
1738263935.215703,206481.333,30227,3,GZ,1,100,0.946
1738263935.260038,206525.667,30227,3,GZ,1,100,0.977
1738263935.304373,206570.000,30227,3,GZ,1,100,0.854
1738263935.344875,206610.500,30242,2,GZ,1,100,0.977
1738263935.385376,206651.000,30242,2,GZ,1,100,0.916
1738263935.425378,206691.000,30258,3,GZ,1,100,0.702
1738263935.465379,206731.000,30258,3,GZ,1,100,0.854
1738263935.505381,206771.000,30258,3,GZ,1,100,0.641
1738263935.544882,206810.500,30274,2,GZ,1,100,0.549
1738263935.584384,206850.000,30274,2,GZ,1,100,0.671
1738263935.624385,206890.000,30291,3,GZ,1,100,0.671
1738263935.664387,206930.000,30291,3,GZ,1,100,0.671
1738263935.704388,206970.000,30291,3,GZ,1,100,0.824
1738263935.744390,207010.000,30306,3,GZ,1,100,0.824
1738263935.784391,207050.000,30306,3,GZ,1,100,0.702
1738263935.824393,207090.000,30306,3,GZ,1,100,0.549
1738263935.864394,207130.000,30322,2,GZ,1,100,0.580
1738263935.904396,207170.000,30322,2,GZ,1,100,0.610
1738263935.944397,207210.000,30338,3,GZ,1,100,0.580
1738263935.984399,207250.000,30338,3,GZ,1,100,0.610
1738263936.024400,207290.000,30338,3,GZ,1,100,0.702
1738263936.064402,207330.000,30353,2,GZ,1,100,0.732
1738263936.104403,207370.000,30353,2,GZ,1,100,0.854
1738263936.144405,207410.000,30368,3,GZ,1,100,0.793
