LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265323.981233,1597298.000,49556,2,AZ,1,100,0.889
1738265324.023702,1597338.000,49556,2,AZ,1,100,0.895
1738265324.066170,1597378.000,49573,3,AZ,1,100,0.891
1738265324.108639,1597418.000,49573,3,AZ,1,100,0.890
1738265324.151108,1597458.000,49573,3,AZ,1,100,0.890
1738265324.193576,1597498.000,49588,2,AZ,1,100,0.889
1738265324.236045,1597538.000,49588,2,AZ,1,100,0.890
1738265324.278513,1597578.000,49604,3,AZ,1,100,0.891
1738265324.320982,1597618.000,49604,3,AZ,1,100,0.892
1738265324.363451,1597658.000,49604,3,AZ,1,100,0.894
1738265324.405919,1597698.000,49619,2,AZ,1,100,0.892
1738265324.448388,1597738.000,49619,2,AZ,1,100,0.890
1738265324.490857,1597778.000,49635,3,AZ,1,100,0.888
1738265324.533325,1597818.000,49635,3,AZ,1,100,0.889
1738265324.575794,1597858.000,49635,3,AZ,1,100,0.894
1738265324.618263,1597898.000,49650,3,AZ,1,100,0.886
1738265324.660731,1597938.000,49650,3,AZ,1,100,0.895
1738265324.703200,1597978.000,49650,3,AZ,1,100,0.919
1738265324.745668,1598018.000,49667,2,AZ,1,100,0.907
1738265324.788137,1598058.000,49667,2,AZ,1,100,0.903
1738265324.830606,1598098.000,49681,3,AZ,1,100,0.891
1738265324.873074,1598138.000,49681,3,AZ,1,100,0.906
1738265324.915543,1598178.000,49681,3,AZ,1,100,0.897
1738265324.965443,1598225.000,49697,2,AZ,1,100,0.908
1738265325.015344,1598272.000,49697,2,AZ,1,100,0.890
1738265325.057282,1598311.500,49712,2,AZ,1,100,0.901
1738265325.099220,1598351.000,49712,2,AZ,1,100,0.896
1738265325.141688,1598391.000,49729,3,AZ,1,100,0.893
1738265325.184157,1598431.000,49729,3,AZ,1,100,0.874
1738265325.226625,1598471.000,49729,3,AZ,1,100,0.850
1738265325.269094,1598511.000,49743,2,AZ,1,100,0.860
1738265325.311563,1598551.000,49743,2,AZ,1,100,0.840
1738265325.354031,1598591.000,49759,3,AZ,1,100,0.840
1738265325.396500,1598631.000,49759,3,AZ,1,100,0.793
1738265325.438968,1598671.000,49759,3,AZ,1,100,0.764
1738265325.481437,1598711.000,49775,3,AZ,1,100,0.727
1738265325.523906,1598751.000,49775,3,AZ,1,100,0.757
1738265325.566374,1598791.000,49775,3,AZ,1,100,0.778
1738265325.608843,1598831.000,49791,2,AZ,1,100,0.801
1738265325.651311,1598871.000,49791,2,AZ,1,100,0.873
1738265325.693780,1598911.000,49805,3,AZ,1,100,0.893
1738265325.736249,1598951.000,49805,3,AZ,1,100,0.888
1738265325.778717,1598991.000,49805,3,AZ,1,100,0.890
1738265325.821186,1599031.000,49822,2,AZ,1,100,0.896
1738265325.863654,1599071.000,49822,2,AZ,1,100,0.931
1738265325.906123,1599111.000,49837,3,AZ,1,100,1.019
1738265325.948592,1599151.000,49837,3,AZ,1,100,0.984
1738265325.991060,1599191.000,49837,3,AZ,1,100,0.919
1738265326.033529,1599231.000,49853,2,AZ,1,100,0.823
1738265326.075998,1599271.000,49853,2,AZ,1,100,0.647
1738265326.125367,1599317.500,49868,2,AZ,1,100,0.645
1738265326.174737,1599364.000,49868,2,AZ,1,100,0.693
1738265326.217206,1599404.000,49886,3,AZ,1,100,0.621
1738265326.259674,1599444.000,49886,3,AZ,1,100,0.589
1738265326.302143,1599484.000,49886,3,AZ,1,100,0.644
1738265326.344611,1599524.000,49901,2,AZ,1,100,0.625
1738265326.387080,1599564.000,49901,2,AZ,1,100,0.607
1738265326.429549,1599604.000,49917,3,AZ,1,100,0.656
1738265326.472017,1599644.000,49917,3,AZ,1,100,0.640
1738265326.514486,1599684.000,49917,3,AZ,1,100,0.691
1738265326.556955,1599724.000,49933,3,AZ,1,100,0.679
1738265326.599423,1599764.000,49933,3,AZ,1,100,0.605
1738265326.641892,1599804.000,49933,3,AZ,1,100,0.551
1738265326.684361,1599844.000,49948,2,AZ,1,100,0.530
1738265326.726829,1599884.000,49948,2,AZ,1,100,0.605
1738265326.769298,1599924.000,49963,3,AZ,1,100,0.880
1738265326.811766,1599964.000,49963,3,AZ,1,100,0.981
1738265326.854235,1600004.000,49963,3,AZ,1,100,0.965
1738265326.896703,1600044.000,49980,2,AZ,1,100,0.834
1738265326.939172,1600084.000,49980,2,AZ,1,100,0.791
