LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260750.849361,700950.000,39302,2,MX,1,100,-13
1738260750.889363,700990.000,39302,2,MX,1,100,-14
1738260750.929364,701030.000,39319,3,MX,1,100,-13
1738260750.969365,701070.000,39319,3,MX,1,100,-14
1738260751.009367,701110.000,39319,3,MX,1,100,-14
1738260751.049368,701150.000,39333,2,MX,1,100,-13
1738260751.089369,701190.000,39333,2,MX,1,100,-14
1738260751.129370,701230.000,39349,3,MX,1,100,-14
1738260751.169372,701270.000,39349,3,MX,1,100,-14
1738260751.209373,701310.000,39349,3,MX,1,100,-13
1738260751.249374,701350.000,39365,2,MX,1,100,-14
1738260751.289376,701390.000,39365,2,MX,1,100,-14
1738260751.329377,701430.000,39384,4,MX,1,100,-14
1738260751.369378,701470.000,39384,4,MX,1,100,-14
1738260751.409379,701510.000,39384,4,MX,1,100,-14
1738260751.449381,701550.000,39384,4,MX,1,100,-13
1738260751.489382,701590.000,39399,3,MX,1,100,-14
1738260751.529383,701630.000,39399,3,MX,1,100,-14
1738260751.569385,701670.000,39399,3,MX,1,100,-14
1738260751.609386,701710.000,39415,2,MX,1,100,-14
1738260751.649387,701750.000,39415,2,MX,1,100,-13
1738260751.689389,701790.000,39430,3,MX,1,100,-14
1738260751.729390,701830.000,39430,3,MX,1,100,-14
1738260751.769391,701870.000,39430,3,MX,1,100,-14
1738260751.809393,701910.000,39446,2,MX,1,100,-13
1738260751.849394,701950.000,39446,2,MX,1,100,-14
1738260751.889395,701990.000,39462,3,MX,1,100,-14
1738260751.929397,702030.000,39462,3,MX,1,100,-12
1738260751.969398,702070.000,39462,3,MX,1,100,-13
1738260752.009399,702110.000,39477,2,MX,1,100,-13
1738260752.049401,702150.000,39477,2,MX,1,100,-14
1738260752.089402,702190.000,39492,3,MX,1,100,-13
1738260752.129403,702230.000,39492,3,MX,1,100,-14
1738260752.169405,702270.000,39492,3,MX,1,100,-14
1738260752.209406,702310.000,39508,2,MX,1,100,-14
1738260752.249407,702350.000,39508,2,MX,1,100,-14
1738260752.289408,702390.000,39524,3,MX,1,100,-14
1738260752.329410,702430.000,39524,3,MX,1,100,-14
1738260752.369411,702470.000,39524,3,MX,1,100,-14
1738260752.409412,702510.000,39540,2,MX,1,100,-13
1738260752.449414,702550.000,39540,2,MX,1,100,-13
1738260752.489415,702590.000,39554,3,MX,1,100,-13
1738260752.529416,702630.000,39554,3,MX,1,100,-14
1738260752.569417,702670.000,39554,3,MX,1,100,-13
1738260752.608919,702709.500,39571,2,MX,1,100,-13
1738260752.648420,702749.000,39571,2,MX,1,100,-14
1738260752.688755,702789.333,39586,3,MX,1,100,-15
1738260752.729089,702829.667,39586,3,MX,1,100,-14
1738260752.769424,702870.000,39586,3,MX,1,100,-14
1738260752.809425,702910.000,39604,2,MX,1,100,-14
1738260752.849427,702950.000,39604,2,MX,1,100,-14
1738260752.889428,702990.000,39619,3,MX,1,100,-14
1738260752.929429,703030.000,39619,3,MX,1,100,-14
1738260752.969431,703070.000,39619,3,MX,1,100,-14
1738260753.009432,703110.000,39635,3,MX,1,100,-14
1738260753.049433,703150.000,39635,3,MX,1,100,-14
1738260753.089435,703190.000,39635,3,MX,1,100,-14
1738260753.124769,703225.333,39650,3,MX,1,100,-15
1738260753.160104,703260.667,39650,3,MX,1,100,-14
1738260753.195438,703296.000,39650,3,MX,1,100,-14
1738260753.235439,703336.000,39667,2,MX,1,100,-14
1738260753.275441,703376.000,39667,2,MX,1,100,-15
1738260753.315442,703416.000,39681,3,MX,1,100,-14
1738260753.355443,703456.000,39681,3,MX,1,100,-14
1738260753.395445,703496.000,39681,3,MX,1,100,-14
1738260753.435446,703536.000,39697,2,MX,1,100,-14
1738260753.475447,703576.000,39697,2,MX,1,100,-15
