LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263936.108433,220267.667,30611,3,AX,1,100,0.391
1738263936.148101,220307.333,30611,3,AX,1,100,0.390
1738263936.187769,220347.000,30611,3,AX,1,100,0.395
1738263936.227770,220387.000,30627,2,AX,1,100,0.391
1738263936.267771,220427.000,30627,2,AX,1,100,0.396
1738263936.307773,220467.000,30645,3,AX,1,100,0.381
1738263936.347774,220507.000,30645,3,AX,1,100,0.399
1738263936.387775,220547.000,30645,3,AX,1,100,0.385
1738263936.428110,220587.333,30660,3,AX,1,100,0.396
1738263936.468445,220627.667,30660,3,AX,1,100,0.388
1738263936.508779,220668.000,30660,3,AX,1,100,0.392
1738263936.548780,220708.000,30675,2,AX,1,100,0.394
1738263936.588782,220748.000,30675,2,AX,1,100,0.385
1738263936.628783,220788.000,30696,3,AX,1,100,0.396
1738263936.668784,220828.000,30696,3,AX,1,100,0.389
1738263936.708786,220868.000,30696,3,AX,1,100,0.395
1738263936.748787,220908.000,30711,2,AX,1,100,0.395
1738263936.788788,220948.000,30711,2,AX,1,100,0.389
1738263936.828456,220987.667,30728,3,AX,1,100,0.402
1738263936.868124,221027.333,30728,3,AX,1,100,0.389
1738263936.907792,221067.000,30728,3,AX,1,100,0.391
1738263936.943460,221102.667,30744,3,AX,1,100,0.385
1738263936.979128,221138.333,30744,3,AX,1,100,0.392
1738263937.014795,221174.000,30744,3,AX,1,100,0.397
1738263937.054797,221214.000,30765,2,AX,1,100,0.384
1738263937.094798,221254.000,30765,2,AX,1,100,0.395
1738263937.134799,221294.000,30780,3,AX,1,100,0.392
1738263937.174801,221334.000,30780,3,AX,1,100,0.390
1738263937.214802,221374.000,30780,3,AX,1,100,0.395
1738263937.254803,221414.000,30795,2,AX,1,100,0.382
1738263937.294804,221454.000,30795,2,AX,1,100,0.402
1738263937.334806,221494.000,30815,3,AX,1,100,0.387
1738263937.374807,221534.000,30815,3,AX,1,100,0.396
1738263937.414808,221574.000,30815,3,AX,1,100,0.393
1738263937.454809,221614.000,30831,2,AX,1,100,0.385
1738263937.494811,221654.000,30831,2,AX,1,100,0.397
1738263937.534812,221694.000,30846,3,AX,1,100,0.392
1738263937.574813,221734.000,30846,3,AX,1,100,0.392
1738263937.614815,221774.000,30846,3,AX,1,100,0.388
1738263937.654816,221814.000,30862,3,AX,1,100,0.395
1738263937.694817,221854.000,30862,3,AX,1,100,0.389
1738263937.734818,221894.000,30862,3,AX,1,100,0.396
1738263937.774820,221934.000,30877,2,AX,1,100,0.394
1738263937.814821,221974.000,30877,2,AX,1,100,0.391
1738263937.854822,222014.000,30893,3,AX,1,100,0.394
1738263937.894824,222054.000,30893,3,AX,1,100,0.387
1738263937.934825,222094.000,30893,3,AX,1,100,0.392
1738263937.974826,222134.000,30909,2,AX,1,100,0.404
1738263938.014827,222174.000,30909,2,AX,1,100,0.387
1738263938.054829,222214.000,30927,3,AX,1,100,0.395
1738263938.094830,222254.000,30927,3,AX,1,100,0.391
1738263938.134831,222294.000,30927,3,AX,1,100,0.400
1738263938.174833,222334.000,30941,2,AX,1,100,0.383
1738263938.214834,222374.000,30941,2,AX,1,100,0.394
1738263938.254835,222414.000,30960,3,AX,1,100,0.398
1738263938.294837,222454.000,30960,3,AX,1,100,0.390
1738263938.334838,222494.000,30960,3,AX,1,100,0.396
1738263938.374839,222534.000,30975,2,AX,1,100,0.385
1738263938.414840,222574.000,30975,2,AX,1,100,0.398
1738263938.454842,222614.000,30993,3,AX,1,100,0.388
1738263938.494843,222654.000,30993,3,AX,1,100,0.393
1738263938.534844,222694.000,30993,3,AX,1,100,0.391
1738263938.574846,222734.000,31007,2,AX,1,100,0.389
1738263938.614847,222774.000,31007,2,AX,1,100,0.397
1738263938.654848,222814.000,31024,3,AX,1,100,0.384
1738263938.694849,222854.000,31024,3,AX,1,100,0.403
1738263938.734851,222894.000,31024,3,AX,1,100,0.389
1738263938.774852,222934.000,31039,2,AX,1,100,0.394
1738263938.814853,222974.000,31039,2,AX,1,100,0.393
1738263938.854854,223014.000,31055,3,AX,1,100,0.389
1738263938.894856,223054.000,31055,3,AX,1,100,0.399
1738263938.934857,223094.000,31055,3,AX,1,100,0.382
1738263938.974858,223134.000,31070,3,AX,1,100,0.412
1738263939.014860,223174.000,31070,3,AX,1,100,0.389
